date,open,high,low,close,volume
2021-03-22 00:00:00+05:30,43.55,43.55,43.55,43.55,9
2021-03-23 00:00:00+05:30,45.7,45.7,45.7,45.7,500
2021-03-24 00:00:00+05:30,47.95,47.95,47.95,47.95,100
2021-03-25 00:00:00+05:30,50.3,50.3,50.3,50.3,200
2021-03-26 00:00:00+05:30,52.8,52.8,52.8,52.8,200
2021-03-31 00:00:00+05:30,55.4,55.4,55.4,55.4,102
2021-04-01 00:00:00+05:30,58.15,58.15,58.15,58.15,50
2021-04-05 00:00:00+05:30,61.05,61.05,61.05,61.05,100
2021-04-06 00:00:00+05:30,64.1,64.1,64.1,64.1,50
2021-04-07 00:00:00+05:30,67.3,67.3,67.3,67.3,50
2021-04-08 00:00:00+05:30,70.65,70.65,70.6,70.65,2240
2021-04-09 00:00:00+05:30,74.15,74.15,74.15,74.15,550
2021-04-12 00:00:00+05:30,77.85,77.85,74.15,77.85,4711
2021-04-13 00:00:00+05:30,81.7,81.7,81.7,81.7,3870
2021-04-15 00:00:00+05:30,85.75,85.75,85.75,85.75,1150
2021-04-16 00:00:00+05:30,90,90,90,90,600
2021-04-19 00:00:00+05:30,94.5,94.5,94.5,94.5,10234
2021-04-20 00:00:00+05:30,99.2,99.2,99.2,99.2,3320
2021-04-22 00:00:00+05:30,104.15,104.15,104.15,104.15,4417
2021-04-23 00:00:00+05:30,109.35,109.35,109.35,109.35,4730
2021-04-26 00:00:00+05:30,114.8,114.8,112,114.8,4331
2021-04-27 00:00:00+05:30,120.5,120.5,120.5,120.5,3154
2021-04-28 00:00:00+05:30,126.5,126.5,126.5,126.5,2176
2021-04-29 00:00:00+05:30,132.8,132.8,132.8,132.8,108
2021-04-30 00:00:00+05:30,139.4,139.4,139,139.4,3005
2021-05-03 00:00:00+05:30,146.35,146.35,146.35,146.35,83
2021-05-04 00:00:00+05:30,153.65,153.65,153.65,153.65,819
2021-05-05 00:00:00+05:30,161.3,161.3,161.3,161.3,511
2021-05-06 00:00:00+05:30,169.35,169.35,169.35,169.35,192
2021-05-07 00:00:00+05:30,177.8,177.8,177.8,177.8,493
2021-05-10 00:00:00+05:30,186.65,186.65,186.65,186.65,1518
2021-05-11 00:00:00+05:30,195.95,195.95,195.95,195.95,1767
2021-05-12 00:00:00+05:30,205.7,205.7,205.7,205.7,1236
2021-05-14 00:00:00+05:30,215.95,215.95,195.45,195.45,12521
2021-05-17 00:00:00+05:30,185.7,185.7,185.7,185.7,262
2021-05-18 00:00:00+05:30,176.45,176.45,176.45,176.45,2080
2021-05-19 00:00:00+05:30,167.65,167.65,167.65,167.65,1296
2021-05-20 00:00:00+05:30,159.3,159.3,159.3,159.3,832
2021-05-21 00:00:00+05:30,151.35,151.35,151.35,151.35,1549
2021-05-24 00:00:00+05:30,143.8,143.8,143.8,143.8,892
2021-05-25 00:00:00+05:30,136.65,136.65,136.65,136.65,1646
2021-05-26 00:00:00+05:30,129.85,133,129.85,129.95,29093
2021-05-27 00:00:00+05:30,123.5,123.5,123.5,123.5,1032
2021-05-28 00:00:00+05:30,117.35,117.35,117.35,117.35,1627
2021-05-31 00:00:00+05:30,111.5,111.5,111.5,111.5,3424
2021-06-01 00:00:00+05:30,106,106,105.95,105.95,2643
2021-06-02 00:00:00+05:30,100.7,100.7,100.7,100.7,1106
2021-06-03 00:00:00+05:30,95.7,95.7,95.7,95.7,5572
2021-06-04 00:00:00+05:30,90.95,90.95,90.95,90.95,4285
2021-06-07 00:00:00+05:30,86.45,95.45,86.45,95.45,18319
2021-06-08 00:00:00+05:30,100.2,100.2,100.2,100.2,1916
2021-06-09 00:00:00+05:30,105.2,105.2,105.2,105.2,1539
2021-06-10 00:00:00+05:30,110.45,110.45,110.45,110.45,2325
2021-06-11 00:00:00+05:30,115.95,115.95,115.95,115.95,1946
2021-06-14 00:00:00+05:30,121.7,121.7,121.7,121.7,2406
2021-06-15 00:00:00+05:30,127.7,127.75,115.65,127.5,25620
2021-06-16 00:00:00+05:30,127.5,127.75,121.25,125.75,3123
2021-06-17 00:00:00+05:30,125.75,126,119.5,123.15,3083
2021-06-18 00:00:00+05:30,118.5,123,117,117.45,3069
2021-06-21 00:00:00+05:30,122.95,122.95,111.6,120,4208
2021-06-22 00:00:00+05:30,115,121,114,115.05,3274
2021-06-23 00:00:00+05:30,120.75,120.75,109.35,115.95,2498
2021-06-24 00:00:00+05:30,115.95,115.95,110.2,115.5,1615
2021-06-25 00:00:00+05:30,118.1,120,109.75,117.8,857
2021-06-28 00:00:00+05:30,113,119,111.95,113.8,1406
2021-06-29 00:00:00+05:30,113.8,115.95,113,113.65,1933
2021-06-30 00:00:00+05:30,112,115,108.05,109.55,1095
2021-07-01 00:00:00+05:30,109.55,113.75,104.1,111.75,799
2021-07-02 00:00:00+05:30,107.05,111.75,106.2,106.75,1693
2021-07-05 00:00:00+05:30,102,111.75,102,109.8,2384
2021-07-06 00:00:00+05:30,115.25,115.25,105,107.45,2068
2021-07-07 00:00:00+05:30,107.45,111,106.05,108.55,653
2021-07-08 00:00:00+05:30,110,110,105,108.9,244
2021-07-09 00:00:00+05:30,106,108.9,105,106,606
2021-07-12 00:00:00+05:30,104.5,110,104.5,107.15,855
2021-07-13 00:00:00+05:30,107.15,112.5,104.05,109.35,1581
2021-07-14 00:00:00+05:30,104.55,114.5,104.55,108.9,1643
2021-07-15 00:00:00+05:30,113,113,108,108,1297
2021-07-16 00:00:00+05:30,108,108,105,108,491
2021-07-19 00:00:00+05:30,112,113,102.6,106,1494
2021-07-20 00:00:00+05:30,104.25,111.3,104.25,110,1278
2021-07-22 00:00:00+05:30,110,110,105,105,749
2021-07-23 00:00:00+05:30,109.8,109.8,104,109.7,408
2021-07-26 00:00:00+05:30,105.7,109.35,104.25,105,1581
2021-07-27 00:00:00+05:30,105,110,102.6,107.25,1441
