date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,54.75,56.75,51.8,53.15,56938
2021-01-04 00:00:00+05:30,54.8,57,52.55,55.9,41094
2021-01-05 00:00:00+05:30,56.9,56.9,54.1,54.45,35493
2021-01-06 00:00:00+05:30,55.45,56,53.25,53.7,20428
2021-01-07 00:00:00+05:30,53.7,55.75,52.5,53.05,17659
2021-01-08 00:00:00+05:30,53.2,54.1,51.2,51.65,29587
2021-01-11 00:00:00+05:30,52.7,53.8,51.1,51.3,21693
2021-01-12 00:00:00+05:30,52.7,53.2,51.05,52.95,16860
2021-01-13 00:00:00+05:30,54.05,54.05,50.8,51.15,16728
2021-01-14 00:00:00+05:30,51.2,51.3,49.45,50.9,5898
2021-01-15 00:00:00+05:30,49.7,50.8,49.7,50.55,11757
2021-01-18 00:00:00+05:30,50.05,52.45,47.25,49.4,13356
2021-01-19 00:00:00+05:30,51.85,52.7,50.5,52,13780
2021-01-20 00:00:00+05:30,51.35,52.85,50.35,51.2,11917
2021-01-21 00:00:00+05:30,51.2,51.9,49.1,49.8,11434
2021-01-22 00:00:00+05:30,48.65,50.5,48,49.55,20062
2021-01-25 00:00:00+05:30,50.9,50.9,47.35,48.25,6119
2021-01-27 00:00:00+05:30,48.25,49.65,46.6,48.2,13874
2021-01-28 00:00:00+05:30,47.55,50.15,46.6,48.95,8085
2021-01-29 00:00:00+05:30,50,50.55,48.1,49.6,9010
2021-02-01 00:00:00+05:30,47.25,50,47.25,49.15,3966
2021-02-02 00:00:00+05:30,49.15,51.8,47.9,49.7,17410
2021-02-03 00:00:00+05:30,49.35,50.85,49.35,49.65,4652
2021-02-04 00:00:00+05:30,49.25,51.4,49,49.25,9766
2021-02-05 00:00:00+05:30,50.75,50.85,48.7,48.85,11179
2021-02-08 00:00:00+05:30,48.75,51.7,48.1,50.45,12403
2021-02-09 00:00:00+05:30,50.25,52.8,50.15,50.65,15628
2021-02-10 00:00:00+05:30,52.5,52.5,49.05,50.3,5168
2021-02-11 00:00:00+05:30,50.05,50.75,48.6,49.15,5500
2021-02-12 00:00:00+05:30,49.05,49.95,47.5,47.75,8619
2021-02-15 00:00:00+05:30,48.05,50,47.6,48.35,9184
2021-02-16 00:00:00+05:30,49.65,49.7,46.8,48.5,8174
2021-02-17 00:00:00+05:30,48,49.9,46.8,47.7,10110
2021-02-18 00:00:00+05:30,49,49.45,46.8,47.65,11974
