date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,94.95,96.3,94.3,94.8,865130
2021-01-04 00:00:00+05:30,95.1,96.3,93.2,94.7,862043
2021-01-05 00:00:00+05:30,94,95.8,93.25,94.45,1071106
2021-01-06 00:00:00+05:30,94.65,96,91.7,93.4,1096909
2021-01-07 00:00:00+05:30,96,97.7,95,95.75,2059111
2021-01-08 00:00:00+05:30,96.3,97.7,94.75,95.3,1113557
2021-01-11 00:00:00+05:30,96,96,92.6,93.3,757722
2021-01-12 00:00:00+05:30,93.5,98.2,93.25,95.9,2786014
2021-01-13 00:00:00+05:30,96.35,96.8,92.5,93.85,1477795
2021-01-14 00:00:00+05:30,94.35,95.45,93,94.2,891226
2021-01-15 00:00:00+05:30,94.4,94.85,91.65,92.3,920493
2021-01-18 00:00:00+05:30,93.65,94.2,90.75,91.75,1341213
2021-01-19 00:00:00+05:30,92.15,94.5,92.15,93.7,677303
2021-01-20 00:00:00+05:30,93.4,94.25,92.9,93.15,524954
2021-01-21 00:00:00+05:30,93.55,95.65,91.1,91.8,1192899
2021-01-22 00:00:00+05:30,92.1,92.65,89.35,89.85,695458
2021-01-25 00:00:00+05:30,90.5,90.9,86.35,86.7,754409
2021-01-27 00:00:00+05:30,86.7,87.8,84,85.35,566684
2021-01-28 00:00:00+05:30,84.05,86.45,84.05,85.8,548756
2021-01-29 00:00:00+05:30,86.05,86.85,84.1,84.65,471215
2021-02-01 00:00:00+05:30,85.35,88.5,83.85,87.5,733179
2021-02-02 00:00:00+05:30,88.45,89.75,88,89.2,587174
2021-02-03 00:00:00+05:30,89.65,91.3,88.75,89.85,557947
2021-02-04 00:00:00+05:30,89.9,93.4,89.55,91.55,1503292
2021-02-05 00:00:00+05:30,92.15,92.75,89.55,89.9,546399
2021-02-08 00:00:00+05:30,90.5,91.6,90.3,90.55,562669
2021-02-09 00:00:00+05:30,90.85,92.4,89.2,89.9,702128
2021-02-10 00:00:00+05:30,90,90.8,88.4,89.45,493691
2021-02-11 00:00:00+05:30,89.05,91.15,89.05,90,581678
2021-02-12 00:00:00+05:30,90.5,91.95,89,89.25,695503
2021-02-15 00:00:00+05:30,89.95,90.2,88.7,89.15,478465
2021-02-16 00:00:00+05:30,89.55,90.2,88.1,88.4,496073
2021-02-17 00:00:00+05:30,88.55,95.7,88.25,94.75,3088936
2021-02-18 00:00:00+05:30,95.4,95.6,91.5,92.2,1553110
2021-02-19 00:00:00+05:30,91.4,94.65,89.55,90.4,1432987
2021-02-22 00:00:00+05:30,90.5,91.15,87.5,87.75,909942
